#,;;,ru,bg,cs,da,de,en,es,et,fi,fr,hu,id,it,ja,ko,nl,pl,pt,ro,sv,tr,uk,zh
~861182d9,,На одной забытой-забытой планете жил парень по имени Джерри.,,,,,,,,,,,,,,,,,,,,,,
~68b96397,,"Джерри был обычным парнем, но с необычной судьбой.",,,,,,,,,,,,,,,,,,,,,,
~4baab3ca,,В 5035 году от рождества криптосингулярности его жизнь навсегда изменилась.,,,,,,,,,,,,,,,,,,,,,,
~66345673,,Кто-то вызывает меня по галосвязи?,,,,,,,,,,,,,,,,,,,,,,
~5f610d6f,,"Гражданин Джерри, с номером тела 1114878!",,,,,,,,,,,,,,,,,,,,,,
~4f4d80,,Вас назначили на должность: Главный Надзиратель Экспериментальной Галактической Тюрьмы Особого Проникновения.,,,,,,,,,,,,,,,,,,,,,,
~89f813a2,,"Что? Подождите, я…",,,,,,,,,,,,,,,,,,,,,,
~2737874,,Отказ невозможен. Телепортация через... три... два... один...,,,,,,,,,,,,,,,,,,,,,,
~6a3ffe27,,"Погодите, это какая-то ошибка? Какой Главный Надзиратель? Это невозможно!",,,,,,,,,,,,,,,,,,,,,,
~4efc9b0b,,"Добро пожаловать, в Галактическую Тюрьму.",,,,,,,,,,,,,,,,,,,,,,
~8a528772,,"Если я правильно поняла, Вы её новый надзиратель.",,,,,,,,,,,,,,,,,,,,,,
~d0004bc9,,Меня зовут Салия. Я ваш помощник и ассистент.,,,,,,,,,,,,,,,,,,,,,,
~ffc55ef6,,Ээ… впервые слышу. Вообще не понимаю о чем Вы.,,,,,,,,,,,,,,,,,,,,,,
~9a14dea7,,По документам всё сходится. Вас назначила сюда сама Императрица.,,,,,,,,,,,,,,,,,,,,,,
~7b4c36fe,,Это какая-то ошибка.,,,,,,,,,,,,,,,,,,,,,,
~19ed5dd,,Любое неповиновение будет рассматриваться как личное оскорбление самой Императрицы.,,,,,,,,,,,,,,,,,,,,,,
~256b58c8,,За отказ от работы Вы будете приговорены к испепелению космолазерами.,,,,,,,,,,,,,,,,,,,,,,
~ba202302,,А это ОЧЕНЬ больно.,,,,,,,,,,,,,,,,,,,,,,
~f546033,,(про себя) Какое-то тупое название. Космолазер.,,,,,,,,,,,,,,,,,,,,,,
~e652b15,,Хорошо… Я понял вас! Значит буду тюремным надзирателем.,,,,,,,,,,,,,,,,,,,,,,
~3ea2165c,,"Если бы меня назначали на такую работу, я бы точно так не капризничала!",,,,,,,,,,,,,,,,,,,,,,
~4edfb652,,(про себя) Бред какой-то. Надзиратель тюрьмы. Назначение от Императрицы. Это какая-то шутка?,,,,,,,,,,,,,,,,,,,,,,
~6c4dbd22,,(про себя) Я наверное сплю. Те антидепрессанты в переулке видимо оказались слишком сильными.,,,,,,,,,,,,,,,,,,,,,,
~984d819f,,"В общем, добро пожаловать, надзиратель.",,,,,,,,,,,,,,,,,,,,,,
~79ce1bbb,,Теперь мне надо сделать небольшой отчёт.,,,,,,,,,,,,,,,,,,,,,,
~7f47c2a1,,Ваше имя? Возраст? Размер тапок?,,,,,,,,,,,,,,,,,,,,,,
~280d25de,,"(про себя) Они перенесли меня в суперсекретную тюрьму, но не могут сами заполнить отчёт. Типичные бюрократы.",,,,,,,,,,,,,,,,,,,,,,
~ac9b18f9,,Э-э... Джерри. 29. Сорок третий размер. А это обязательно?..,,,,,,,,,,,,,,,,,,,,,,
~32b468c7,,"В Галактическом Империуме обязательно всё, кроме хорошего настроения.",,,,,,,,,,,,,,,,,,,,,,
~f2830067,,Теперь можем пройти на инструктаж.,,,,,,,,,,,,,,,,,,,,,,
~4c688484,,"Если Вы не читали 10 000-страничный устав, я в двух словах объясню:",,,,,,,,,,,,,,,,,,,,,,
~7887a824,,"— Не трогайте ничего руками, если не уверены, что это не взорвётся.",,,,,,,,,,,,,,,,,,,,,,
~1e10d2d9,,— Никаких отгулов и больничных. Киберимпланты не входят в вашу медицинскую страховку.,,,,,,,,,,,,,,,,,,,,,,
~63351dd7,,— За потерю отчёта — публичное унижение. Варианты наказаний уточняйте у Императрицы.,,,,,,,,,,,,,,,,,,,,,,
~d0cf991b,,Жестко. И это всё?,,,,,,,,,,,,,,,,,,,,,,
~a089739e,,Нет!,,,,,,,,,,,,,,,,,,,,,,
~716d4a98,,(действие) Салия резко нагибается. Становятся видны её формы.,,,,,,,,,,,,,,,,,,,,,,
~381ae97,,(про себя) Ухх.. какие формы. Заглядение.,,,,,,,,,,,,,,,,,,,,,,
~6ec99761,,"(про себя) Чёрт, Джер, не смотри слишком долго.",,,,,,,,,,,,,,,,,,,,,,
~47b3b520,,"(про себя) Она же тебя сразу испепелит либо взглядом, либо какой-нибудь сайфайной штукой.",,,,,,,,,,,,,,,,,,,,,,
~c28bd736,,(про себя) Но эта задница… Она так и манит.,,,,,,,,,,,,,,,,,,,,,,
~4f5321f0,,Поздравляю! Вы прошли проверку на внимательность. Ваш взгляд оставался дольше 5 секунд на нетипичном объекте. Ваша бдительность заслуживает похвалы.,,,,,,,,,,,,,,,,,,,,,,
~1f3aa3a9,,(про себя) Хоть что-то хорошее.,,,,,,,,,,,,,,,,,,,,,,
~933506d7,,На этом инструктаж можно завершать. Пройдите в свой кабинет.,,,,,,,,,,,,,,,,,,,,,,
~39844ee6,,Завтра поступят первые заключенные.,,,,,,,,,,,,,,,,,,,,,,
~54b9bb73,,Передохните и подготовьте для них тюремное пространство.,,,,,,,,,,,,,,,,,,,,,,
~9d56685e,,Это в каком смысле?,,,,,,,,,,,,,,,,,,,,,,
~ac825b98,,Убраться здесь надо.,,,,,,,,,,,,,,,,,,,,,,
~db48bc90,,Ээ… А разве не для этого мне нужен ассистент-помощник?,,,,,,,,,,,,,,,,,,,,,,
~e2441df2,,Мне нужно заполнить несколько тысяч отчётов до следующей пятницы. Хотите это сделать вместо меня?,,,,,,,,,,,,,,,,,,,,,,
~cf187539,,"Пожалуй, я откажусь.",,,,,,,,,,,,,,,,,,,,,,
~473363c1,,(про себя) Пора осознать всё происходящее.,,,,,,,,,,,,,,,,,,,,,,
~458bf651,,"(про себя) Это стопроцентно либо ошибка, либо розыгрыш. Как я мог стать надзирателем просто так? Нет, ну я, конечно, обаятельный…",,,,,,,,,,,,,,,,,,,,,,
~52c23738,,(про себя) Бредятина.,,,,,,,,,,,,,,,,,,,,,,
~721d05a1,,"Здравствуй, Джерри. Я твоя Богиня-Императрица.",,,,,,,,,,,,,,,,,,,,,,
~8f362658,,"(про себя) БОЖЕ, ЭТО САМА БОГИНЯ-ИМПЕРАТРИЦА ОРГАЗМУСИКА ВТОРАЯ!!!",,,,,,,,,,,,,,,,,,,,,,
~d2890223,,"Я в вашем распоряжении, Богиня-Императрица!",,,,,,,,,,,,,,,,,,,,,,
~f225c3fe,,"Твоя покорность меня радует. Должно быть тебе пока непонятно, какую роль я уготовила для тебя… Но это временно.",,,,,,,,,,,,,,,,,,,,,,
~3649fb21,,Видишь ли… Недавно меня посетила гениальная идея.,,,,,,,,,,,,,,,,,,,,,,
~a9e327,,Я решила создать тюрьму для самых опасных преступников Галактики.,,,,,,,,,,,,,,,,,,,,,,
~67ffeda0,,Но мало их изолировать. Я решила перевоспитать самых отъявленных негодяев Вселенной иначе.,,,,,,,,,,,,,,,,,,,,,,
~22fa067a,,"А как можно перевоспитать преступников, как не любовью? Нам нужен был похотливый, жадный до страсти человек, который с удовольствием начнет с ними роман.",,,,,,,,,,,,,,,,,,,,,,
~d5208154,,Для этого мы выбрали тебя. Наши сверхсекретные ИИ Агенты засекли за тобой аномальную активность на порно сайтах.,,,,,,,,,,,,,,,,,,,,,,
~fcc3379e,,"Я поняла — ты тот самый трахарь, который поможет сделать Вселенную лучше!",,,,,,,,,,,,,,,,,,,,,,
~537a6795,,"Силой твоей похоти, ты перевоспитаешь преступников и сделаешь из них достойных граждан. Ты понял меня?",,,,,,,,,,,,,,,,,,,,,,
~36884de0,,Ээ…,,,,,,,,,,,,,,,,,,,,,,
~d1f837b9,,Можешь ничего не говорить. Я всё вижу по твоим глазам. Твой член станет оружием добра для нашей страны!,,,,,,,,,,,,,,,,,,,,,,
~e230313c,,Завтра прибудет первая преступница. Подготовь для неё камеру.,,,,,,,,,,,,,,,,,,,,,,
~57b44e3b,,Я жду невероятных результатов.,,,,,,,,,,,,,,,,,,,,,,
~9c1dfe48,,Только секс и любовь спасут нашу нацию!!!,,,,,,,,,,,,,,,,,,,,,,
~e085b8f5,,"Конечно, исключительно добровольный, равноправный и взаимный.",,,,,,,,,,,,,,,,,,,,,,
~b25d6496,,(про себя) В наше время даже порнушку спокойно не посмотришь…,,,,,,,,,,,,,,,,,,,,,,
~83ed14c,,"(про себя) Боже, во что меня ввязывают. С другой стороны…",,,,,,,,,,,,,,,,,,,,,,
~61a3b4c8,,"(про себя) Это лучше, чем работать на кибердоставке! С Трахарем они точно не прогадали!",,,,,,,,,,,,,,,,,,,,,,
~80c6cef5,,(про себя) Слава Богине-Императрице!,,,,,,,,,,,,,,,,,,,,,,
