#,;;,ru,bg,cs,da,de,en,es,et,fi,fr,hu,id,it,ja,ko,nl,pl,pt,ro,sv,tr,uk,zh
~861182d9,,На одной забытой-забытой планете жил парень по имени Джерри.,,,,,"On a very, very forgotten planet lived a guy named Jerry.",,,,,,,,,,,,,,,,,
~68b96397,,"Джерри был обычным парнем, но с необычной судьбой.",,,,,"Jerry was an ordinary guy, but with an extraordinary fate.",,,,,,,,,,,,,,,,,
~4baab3ca,,В 5035 году от рождества криптосингулярности его жизнь навсегда изменилась.,,,,,"In the year 5035 from the birth of the crypto-singularity, his life changed forever.",,,,,,,,,,,,,,,,,
~66345673,,Кто-то вызывает меня по галосвязи?,,,,,Is someone calling me via hololink?,,,,,,,,,,,,,,,,,
~5f610d6f,,"Гражданин Джерри, с номером тела 1114878!",,,,,"Citizen Jerry, body number 1114878!",,,,,,,,,,,,,,,,,
~4f4d80,,Вас назначили на должность: Главный Надзиратель Экспериментальной Галактической Тюрьмы Особого Проникновения.,,,,,You have been appointed to the position of: Chief Observer of the Experimental Galactic Prison of Special Penetration.,,,,,,,,,,,,,,,,,
~89f813a2,,"Что? Подождите, я…",,,,,"What? Wait, I...",,,,,,,,,,,,,,,,,
~2737874,,Отказ невозможен. Телепортация через... три... два... один...,,,,,Refusal is impossible. Teleportation in... three... two... one...,,,,,,,,,,,,,,,,,
~6a3ffe27,,"Погодите, это какая-то ошибка? Какой Главный Надзиратель? Это невозможно!",,,,,"Wait, is this some kind of mistake? What Chief Observer? This is impossible!",,,,,,,,,,,,,,,,,
~4efc9b0b,,"Добро пожаловать, в Галактическую Тюрьму.",,,,,Welcome to the Galactic Prison.,,,,,,,,,,,,,,,,,
~8a528772,,"Если я правильно поняла, Вы её новый надзиратель.",,,,,"If I understand correctly, you are its new observer.",,,,,,,,,,,,,,,,,
~d0004bc9,,Меня зовут Салия. Я ваш помощник и ассистент.,,,,,My name is Salia. I am your aid and assistant.,,,,,,,,,,,,,,,,,
~ffc55ef6,,Ээ… впервые слышу. Вообще не понимаю о чем Вы.,,,,,Uh... first time I'm hearing this. I have no idea what you're talking about.,,,,,,,,,,,,,,,,,
